分组ID,哈希类型,哈希值,文件数量,文件大小(字节),文件大小(可读),文件列表
SHA256_3752,SHA256,26182aa0c57fef02f6a1f9f2d1561f535f4537afdf4eec4fdeca8c3c76dc9f8d,2,2923,2.85 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Fusion\ToolButton.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Fusion\ToolButton.qml
MD5_3813,MD5,330c86f6c5468ff2d037094d076f3fd3,2,4484,4.38 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Imagine\RadioButton.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Imagine\RadioButton.qml
SHA256_4882,SHA256,9e25003e4898c5e44024c949baf549662b26d9516e7d9acd690b62780eec34b9,2,2318,2.26 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\fontTools\feaLib\__main__.py; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\fontTools\feaLib\__main__.py
MD5_159,MD5,690ddbf22d285c59da8531ea9f41609c,2,28573,27.90 B,svn\在建项目\滕州卷烟厂数据汇聚中心系统项目\02-需求阶段\调研记录\卷包数采、盒条件关联等系统需求调研记录20250125.docx; svn\滕烟数据汇聚中心项目\2-需求阶段\02-卷包车间\卷包数采、盒条件关联等系统需求调研记录20250125.docx
MD5_4133,MD5,a483f67e851cfe81a3bb3288e11d6d77,2,4658,4.55 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Universal\Slider.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Universal\Slider.qml
MD5_2099,MD5,2df855e6d7694d0d2bd53d4aaddeec31,2,7422,7.25 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\py_src\ocr\output\output_pdf_layered.py; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\py_src\ocr\output\output_pdf_layered.py
MD5_2001,MD5,f2786439e8575a02888d013cfabe52c7,2,2227,2.17 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\py_src\event_bus\pubsub_connector.py; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\py_src\event_bus\pubsub_connector.py
MD5_4217,MD5,4df82cf68626823eb6bb0313b2e8bb65,2,4195,4.10 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\designer\ProgressBarSpecifics.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\designer\ProgressBarSpecifics.qml
MD5_4847,MD5,f7448df217ec9d2754bb8a284be6755d,2,2518,2.46 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\fontTools\cu2qu\errors.py; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\fontTools\cu2qu\errors.py
MD5_5453,MD5,a83c510a3bb6d42614094f63e36bfa97,2,4868,4.75 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\fontTools\ttLib\tables\_h_e_a_d.py; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\fontTools\ttLib\tables\_h_e_a_d.py
SHA256_2586,SHA256,7709537c9729500f4d01c596e96a118ec7b1bbfe711530d826162e42748b509e,2,17489,17.08 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PIL\DdsImagePlugin.py; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PIL\DdsImagePlugin.py
MD5_4061,MD5,41b49164e4feb96d77779d1430d3af6d,2,3289,3.21 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Tumbler.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Tumbler.qml
SHA256_4540,SHA256,883e1a860f06c5eaeeb0beda267c80b9ae0e6ea955c312ff5fe6ebdd7c43936b,2,23240,22.70 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Extras\PieMenu.qmlc; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Extras\PieMenu.qmlc
MD5_2735,MD5,7788ef879a9abc4d450118cf515d4103,2,11891,11.61 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PIL\WebPImagePlugin.py; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PIL\WebPImagePlugin.py
MD5_2529,MD5,7d5bb2a3e4fbceaddfeef929a21e610c,2,46768,45.67 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\runtime\_overlapped.pyd; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\runtime\_overlapped.pyd
SHA256_3914,SHA256,c62db07b4d429f9bd0cf88eaef9b15ad8cdb58322c7656d55be5936044eb1240,2,2604,2.54 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Material\MenuBar.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Material\MenuBar.qml
MD5_4047,MD5,56e6bf6e174654cb3487a6d37e0c880e,2,751384,733.77 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Material\qtquickcontrols2materialstyleplugin.dll; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Material\qtquickcontrols2materialstyleplugin.dll
SHA256_4248,SHA256,58c5d2472e3d36750481a8617d222f8a666dacfc5c13d82e4258d8de5a9ac190,2,3510,3.43 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\designer\TumblerSpecifics.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\designer\TumblerSpecifics.qml
MD5_813,MD5,cba76e5eefe1aa7ac1cda020f7e81c30,2,696786200,664.51 KB,svn\长烟智能制造数据运营项目\01.项目启动\湖南中烟工业有限责任公司数字化转型规划设计及数智应用试点实施项目-投标文件-技术部分-20230425.docx; svn\长烟智能制造数据运营项目\01.项目启动\湖南中烟工业有限责任公司数字化转型规划设计及数智应用试点实施项目-投标文件-技术部分-202304全.docx
SHA256_4284,SHA256,5d34c18970adba1c6e1cf4bff1d10869610f9c634566e64764473dc978cd3589,2,243,243 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\designer\images\dial-icon16.png; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\designer\images\dial-icon16.png
SHA256_3274,SHA256,f989cc52662928ad96f2695c927ae7a9030716d2b8b32a3558de48a71f368053,2,4634,4.53 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\TableViewItemDelegateLoader.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Private\TableViewItemDelegateLoader.qml
MD5_3691,MD5,da76e587d1c03e0bd563ed24398d8e22,2,2526,2.47 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Fusion\MenuSeparator.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Fusion\MenuSeparator.qml
SHA256_2190,SHA256,bebbc5902fa97ddd7bf5ed5aa4047f70156f52a008ec5b3b804eb17aa9c46ede,2,553,553 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\py_src\plugins_controller\plugins_connector.py; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\py_src\plugins_controller\plugins_connector.py
SHA256_2488,SHA256,5edfbb95e02e1335acab2a30b5745ba5db60fc525d3254985ab5a6d866c24d0d,2,922,922 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\qt_res\qml\Widgets\MouseAreaBackgroud.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\qt_res\qml\Widgets\MouseAreaBackgroud.qml
MD5_3953,MD5,1f3cf71216e54dfbd0a6a352907a95c6,2,6225,6.08 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Material\SpinBox.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Material\SpinBox.qml
MD5_2369,MD5,f59fdec6f6580bdc8a5b86f4c0bee3df,2,3733,3.65 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\qt_res\qml\MainWindow\SystemTray.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\qt_res\qml\MainWindow\SystemTray.qml
SHA256_5632,SHA256,06da33adc9caa04c82b34ac6cbb3d99ab52f50d4e6653fb9fecca55b93ee276f,2,7732,7.55 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\fontTools\varLib\plot.py; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\fontTools\varLib\plot.py
MD5_2523,MD5,cf9fd17b1706f3044a8f74f6d398d5f1,2,163504,159.67 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\runtime\_lzma.pyd; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\runtime\_lzma.pyd
MD5_3001,MD5,41ffd4e0a54690c948b902f3dff964d6,2,1349,1.32 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\Qt\labs\wavefrontmesh\plugins.qmltypes; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\Qt\labs\wavefrontmesh\plugins.qmltypes
MD5_5657,MD5,93e19d113748ea68987dfbf0ae495242,2,99,99 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\pillow-10.4.0.dist-info\WHEEL; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\pillow-10.4.0.dist-info\WHEEL
MD5_5441,MD5,aa25e98eda39547d0bb666c232e22495,2,1219,1.19 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\fontTools\ttLib\tables\_f_p_g_m.py; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\fontTools\ttLib\tables\_f_p_g_m.py
SHA256_3498,SHA256,d23a90db1d8b0dd7e49f7f83cf9c8ba510b2a14125a452f222f82068822457af,2,12873,12.57 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Styles\Base\TumblerStyle.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Styles\Base\TumblerStyle.qml
SHA256_2330,SHA256,cc86f0e3840bda76a2df47b04e64adc5b78247f37532c304771ea9070fb2be86,2,821,821 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\qt_res\images\icons\screenshot.svg; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\qt_res\images\icons\screenshot.svg
SHA256_11310,SHA256,6d1d968fb225eca367cb7f0b8831ab012a35d92b547e945e17ef8e7b05c3e5cc,2,10349,10.11 B,temp\apache-jmeter-5.6.3\licenses\com.helger\ph-css-6.5.0\LICENSE; temp\apache-jmeter-5.6.3\licenses\com.helger.commons\ph-commons-10.2.5\LICENSE
MD5_5293,MD5,b0f11c1d15cfc4c5bf1a842f4109a6c2,2,35938,35.10 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\fontTools\ttLib\tables\S__i_l_f.py; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\fontTools\ttLib\tables\S__i_l_f.py
SHA256_4346,SHA256,99b9b80312b8deaf6b9f39ae3d9bedc2053c13e60af608a4b0497ac300abed57,2,229,229 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\designer\images\roundbutton-icon.png; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\designer\images\roundbutton-icon.png
MD5_5667,MD5,3c1d5fbe385ec8d3447a65d7fc934d60,2,90771,88.64 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\psutil\__init__.py; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\psutil\__init__.py
SHA256_3340,SHA256,ffcdd4acae9005ce7876401e52ebb8a48278660f747bce769d46c0976a88a04c,2,1856,1.81 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\StackViewDelegate.qmlc; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\StackViewDelegate.qmlc
SHA256_3074,SHA256,c3edfda7c3677d94681e002c1ce62d1bea074a04a6232bc398534470f09e2578,2,10099,9.86 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtGraphicalEffects\private\FastInnerShadow.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtGraphicalEffects\private\FastInnerShadow.qml
SHA256_2388,SHA256,c4fd57bd3b111e9e2cba6582548fb87e34664c38545756866b4fccfc9c1ec5e8,2,5326,5.20 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\qt_res\qml\TabPages\About\About.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\qt_res\qml\TabPages\About\About.qml
SHA256_3492,SHA256,838c9d6873d47ced64c308981e88265f2cf80f42540b94411b28c3a5ef930349,2,2813,2.75 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Styles\Base\TreeViewStyle.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Styles\Base\TreeViewStyle.qml
SHA256_2280,SHA256,0ece7e68edf96e52dfb08caa3172af315beb53b7980f4f388e2cadc54ce68087,2,1415,1.38 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\py_src\utils\thread_pool.py; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\py_src\utils\thread_pool.py
MD5_2775,MD5,7eaafcafa7c626dedb80c1b85c794e92,2,2071,2.02 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PIL\_deprecate.py; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PIL\_deprecate.py
MD5_2343,MD5,430627370183fd1a7adcdeced2fccb33,2,6894,6.73 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\qt_res\qml\ApiManager\OcrManager.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\qt_res\qml\ApiManager\OcrManager.qml
MD5_87,MD5,fc8401dc8b297a7f7d17bc2eea5f75b6,2,17659,17.25 B,svn\在建项目\滕州卷烟厂数据汇聚中心系统项目\02-需求阶段\卷包需求\工段日工作分析\《工段日工作分析》表说明.docx; svn\滕烟数据汇聚中心项目\2-需求阶段\02-卷包车间\原始需求\工段日工作分析\《工段日工作分析》表说明.docx
MD5_4643,MD5,ed824b0ed5b4507ae46d33d1be55690a,2,340,340 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Extras\designer\images\togglebutton-icon.png; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Extras\designer\images\togglebutton-icon.png
MD5_4159,MD5,96d4b0987608270e92965c2fcb1246d6,2,2564,2.50 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Universal\ToolSeparator.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Universal\ToolSeparator.qml
SHA256_1212,SHA256,628ee1fae436c69c1e32e29d8780aed0116fbec11a8d55ad2b0cac337f9f6d13,2,65478,63.94 B,svn\长烟智能制造数据运营项目\05-实施阶段\平台使用截图\数据管控\探查任务.jpg; svn\长烟智能制造数据运营项目\05-实施阶段\平台使用截图\数据管控平台\探查任务.jpg
MD5_1957,MD5,a24c7af519c6b7b38e54597efe12a679,2,14480,14.14 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\plugins\win7_x64_PaddleOCR-json\models\dict_korean.txt; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\plugins\win7_x64_RapidOCR-json\models\dict_korean.txt
MD5_2933,MD5,6299375a5ed2336901664f21f3e26a19,2,45848,44.77 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\Qt\labs\animation\labsanimationplugin.dll; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\Qt\labs\animation\labsanimationplugin.dll
SHA256_2210,SHA256,3da953fc27de7a26e5e76ca52573defccb936e941a0fb107eea4f6f808634cf9,2,158323,154.61 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\py_src\server\bottle.py; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\py_src\server\bottle.py
SHA256_5188,SHA256,6e4fca813ebe90da73223dc0169b67783590bd1ddce5a8576249574ca32b971a,2,11087,10.83 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\fontTools\svgLib\path\parser.py; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\fontTools\svgLib\path\parser.py
SHA256_2414,SHA256,6bf406377aaa3824314451dfa8cfa7aae2a5f6600494c51f5e0fbd53657bef92,2,8766,8.56 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\qt_res\qml\TabPages\PagesManager.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\qt_res\qml\TabPages\PagesManager.qml
SHA256_4278,SHA256,53f0385b1e5aca0f6caf5d38895ec5f5da1afb61f99be8fcda086db44342badd,2,286,286 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\designer\images\delaybutton-icon@2x.png; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\designer\images\delaybutton-icon@2x.png
MD5_3809,MD5,69be6e659f2d8c1bb0713f7c94e97f0a,2,3481,3.40 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Imagine\Popup.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Imagine\Popup.qml
SHA256_184,SHA256,7c6f6326905f5b1f9c3a2c4236a97a383bf1d97845c4921afd28ba844e7f7421,2,15963904,15.22 KB,svn\在建项目\滕州卷烟厂数据汇聚中心系统项目\05-实施阶段\培训材料\领导培训材料\从理性出发谈数智化转型实践与路径（滕烟）.pdf; svn\滕烟数据汇聚中心项目\6-实施阶段\培训材料\领导培训材料\从理性出发谈数智化转型实践与路径（滕烟）.pdf
MD5_5191,MD5,17b4042ced39cbdffb0bcaad89239cf1,2,579,579 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\fontTools\ttLib\__init__.py; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\fontTools\ttLib\__init__.py
SHA256_2194,SHA256,3f73be740aaf15fc61c2ee89c91ac5f672e36130969946edbcb55b5f61419959,2,6772,6.61 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\py_src\run.py; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\py_src\run.py
MD5_4621,MD5,655173149eee917ea1113ff30930df3d,2,220,220 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Extras\designer\images\delaybutton-icon16.png; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Extras\designer\images\delaybutton-icon16.png
MD5_4135,MD5,3acbe1d1ce8ab0cc2bd7823fdfa4a2fb,2,2682,2.62 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Universal\SplitView.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Universal\SplitView.qml
MD5_5287,MD5,e1331f52cfa0f5397f9b3d968b5695a7,2,3191,3.12 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\fontTools\ttLib\tables\S__i_l_l.py; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\fontTools\ttLib\tables\S__i_l_l.py
MD5_4671,MD5,ac70142c37f2580ba1b0ce49ecb4c57f,2,59672,58.27 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\LocalStorage\qmllocalstorageplugin.dll; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\LocalStorage\qmllocalstorageplugin.dll
SHA256_2398,SHA256,772a345f66221adcd131b69bd99d23d659cd0874cf218b4175f7f9106ad8b55c,2,11736,11.46 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\qt_res\qml\TabPages\BatchDOC\BatchDOC.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\qt_res\qml\TabPages\BatchDOC\BatchDOC.qml
MD5_4019,MD5,42a33ad9b25996da051e4a496628f25c,2,3633,3.55 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\RoundButton.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\RoundButton.qml
MD5_3615,MD5,bca14e0f28cc7e609e21703b3082af72,2,2206,2.15 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\ApplicationWindow.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\ApplicationWindow.qml
SHA256_5122,SHA256,2871d082015073a1aafa43dd9fd5f6ff00574cf5b3bf2cca4d251eab49aabd23,2,663,663 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\fontTools\pens\qtPen.py; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\fontTools\pens\qtPen.py
MD5_3665,MD5,4a379962bdf0008e52b5431251c4911f,2,6762,6.60 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Fusion\ComboBox.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Fusion\ComboBox.qml
MD5_3949,MD5,46d343d4fc318cb86e1676a789915ba1,2,3963,3.87 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Material\Slider.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Material\Slider.qml
MD5_3635,MD5,35062d9350b9f6ede14d98b7fb51e230,2,2189,2.14 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Control.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Control.qml
MD5_5305,MD5,092eabfec6d53d8913956f70712d341d,2,2098,2.05 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\fontTools\ttLib\tables\T_S_I__0.py; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\fontTools\ttLib\tables\T_S_I__0.py
MD5_2539,MD5,50bcfb04328fec1a22c31c0e39286470,2,690368,674.19 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\runtime\libssl-1_1.dll; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\runtime\libssl-1_1.dll
SHA256_2048,SHA256,12885c25fcbd22f3c09b4c0a4d6124d21ff29dccc9e97741faef0b5135c43888,2,4373,4.27 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\py_src\mission\doc_preview_connector.py; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\py_src\mission\doc_preview_connector.py
SHA256_2292,SHA256,43b7256812acdd6a22b8f13240e066fcab260fca2a1c7c728008308eaca28ba4,2,473,473 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\qt_res\images\icons\arrow_to_left.svg; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\qt_res\images\icons\arrow_to_left.svg
SHA256_2952,SHA256,6b14b760a39e3c5546b98e5725e61e06d280da75669bb58103de5df81d8beef6,2,193,193 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\Qt\labs\calendar\qmldir; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\Qt\labs\calendar\qmldir
SHA256_3422,SHA256,10b0380b7358dc7ad70a5da292bee8278a7171249c8e6b64dddbdc4d64d6885a,2,5266,5.14 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Styles\Base\MenuBarStyle.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls\Styles\Base\MenuBarStyle.qml
MD5_4453,MD5,b6d6a211d4018e1871a28da308c0a264,2,2046,2.00 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Dialogs\WidgetColorDialog.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Dialogs\WidgetColorDialog.qml
SHA256_3778,SHA256,25a1e6243777e47036b4246bb9d33ddf9e8b4d231fd038ecff7b31957240e340,2,7602,7.42 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Imagine\ComboBox.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Imagine\ComboBox.qml
MD5_3643,MD5,8c2ee0d6aecd93e86c85c7ce4d0934c2,2,3310,3.23 B,temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Dialog.qml; temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\PySide2\qml\QtQuick\Controls.2\Dialog.qml
