文件名,完整路径,大小(字节),大小(可读),修改时间,是否目录,MD5哈希值,SHA256哈希值,扩展名,MIME类型
滕州卷烟厂数据元技术规范-V0.1.docx,svn\在建项目\滕州卷烟厂数据汇聚中心系统项目\05-实施阶段\标准规范\滕州卷烟厂数据元技术规范-V0.1.docx,342411,334.39 B,2025-01-03 09:02:11,false,a3f8c74ea99864a80298953d885557b3,dd3785bc0852aecc68be78351083ede663fb493204cb1b9dc83734809af1ee02,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
山东中烟工业有限责任公司滕州卷烟厂数据汇聚中心系统项目招标文件vv.docx,svn\滕烟数据汇聚中心项目\1-立项阶段\招投标文件\山东中烟工业有限责任公司滕州卷烟厂数据汇聚中心系统项目招标文件vv.docx,929775,907.98 B,2024-10-10 00:05:33,false,1ae7abe5a6a5012caa6c1967f005304d,167a9c2460494cb76637c12109a585cc2e216b65484c1e6ff8a880bb945be258,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
山东中烟工业有限责任公司滕州卷烟厂数据汇聚中心系统项目招标文件vv.pdf,svn\滕烟数据汇聚中心项目\1-立项阶段\招投标文件\山东中烟工业有限责任公司滕州卷烟厂数据汇聚中心系统项目招标文件vv.pdf,1419916,1.35 KB,2024-12-23 10:41:31,false,3bba117dfe58bf772cbbfc1aee0fafdd,cfcb1bad8fe96e49883206252a6073582dedd2bc067de8e18f7be2fbbb65656e,pdf,application/pdf
02_技术文件-滕州卷烟厂数据汇聚中心系统项目_北京远舢.docx,svn\滕烟数据汇聚中心项目\1-立项阶段\招投标文件\02_技术文件-滕州卷烟厂数据汇聚中心系统项目_北京远舢.docx,157757564,150.45 KB,2024-12-23 10:41:31,false,98845fcc21f442d9f17b9f08f89b618f,dcf52d86ab8ef477f43c0651e0cdeac7ade945e414ad974f0d9d61fa4eed02ed,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
滕州数据汇聚中心系统项目-前期准备.pptx,svn\滕烟数据汇聚中心项目\1-立项阶段\滕州数据汇聚中心系统项目-前期准备.pptx,11231103,10.71 KB,2024-12-26 15:05:29,false,63eee1dc6bfeaa2edce8f3c0413368dc,35a7e50891df7b86f8e3ded35f9d86012d9fd465cf36080dd687fd19dc889e8a,pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation
滕州数据汇聚中心系统项目立项汇报.pptx,svn\滕烟数据汇聚中心项目\1-立项阶段\立项汇报\滕州数据汇聚中心系统项目立项汇报.pptx,15743055,15.01 KB,2024-12-26 15:05:29,false,5e276d7751b95bd7fb81c3637c78c8ad,8f3e95e50f951ca4e7c865d09815dd20b27e400c3c27c2fb10227cade718ea7e,pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation
滕州数据汇聚中心项目立项汇报.xlsx,svn\滕烟数据汇聚中心项目\1-立项阶段\立项汇报\滕州数据汇聚中心项目立项汇报.xlsx,22550,22.02 B,2025-01-14 18:05:25,false,69c016bac463160dca997f148c1a0487,e017ebf9f5a98b325e6c3822ab8235fe5160706d0eca9c2271f685b2d55d6dde,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
项目计划导入表【CP2025003】2025011417320668.xlsx,svn\滕烟数据汇聚中心项目\1-立项阶段\立项汇报\项目计划导入表【CP2025003】2025011417320668.xlsx,11585,11.31 B,2025-01-15 18:09:16,false,366531557a09d868bb446c2ee7964f13,74bdb2580847721d845e80dc1d9fcac981c1085b07bd78efe70f4bf39a23fc97,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
滕州卷烟厂数据汇聚中心系统项目技术合同-扫描件.pdf,svn\滕烟数据汇聚中心项目\1-立项阶段\项目合同\滕州卷烟厂数据汇聚中心系统项目技术合同-扫描件.pdf,53186301,50.72 KB,2025-01-08 17:41:41,false,2dc11ad99aa365b7ebd364c195f3fc1f,8db3c4111f8dd2b7e1bf9982a8043fbdc58d6dd4d9978e82912376fea3cfcbcd,pdf,application/pdf
项目合同-终稿.doc,svn\滕烟数据汇聚中心项目\1-立项阶段\项目合同\项目合同-终稿.doc,1979053,1.89 KB,2024-12-19 11:21:57,false,8ca78efa01e9b31196c259b284140020,5c4156a85743df9c535e51c0ba4a2d64dc293e527335419e956753505887cde8,doc,application/msword
项目合同-终稿.pdf,svn\滕烟数据汇聚中心项目\1-立项阶段\项目合同\项目合同-终稿.pdf,2573139,2.45 KB,2024-12-19 11:23:11,false,492462a53d00aba9e3d3658359787fa0,0b353864bf07d31318bf1517682e16a24f2157a8d6bc799e5a7211548a0f553d,pdf,application/pdf
滕州数据汇聚中心系统项目-采购沟通事宜.doc,svn\滕烟数据汇聚中心项目\1-立项阶段\项目采购\滕州数据汇聚中心系统项目-采购沟通事宜.doc,33280,32.50 B,2025-01-15 15:31:17,false,81edb55db89a3dab3d554dbd5c4cd9dd,6fc3c9256af5c18cdd26bf6e09ca5ba6502f2c037464893b50a6ec5f62c6fcbb,doc,application/msword
2024年主机性能开动率（进步度）.xlsx,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\2024年主机性能开动率（进步度）.xlsx,132395,129.29 B,2024-08-28 14:19:22,false,3574ea3552c9ffcacfa4dd6eefc40564,c05106dcf5298a20d1d773f11523ebc981c4224212bd5f789433bca23ecc7593,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
出丝率完成情况统计表5月份.xlsx0000666,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\5月份生产各类报表\出丝率完成情况统计表5月份.xlsx0000666,19696,19.23 B,2024-06-04 05:51:54,false,25941fe969c29cc82fef4fe6ae21db4f,237d89cb63875a89eb80e5e081adee9f5da447069ce27e7f554db4c6d6503360,xlsx0000666,
制丝台时产量.xlsm,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\5月份生产各类报表\制丝台时产量.xlsm,122031,119.17 B,2024-06-03 20:20:06,false,4e4b4379abb90bd5f4c5d1174a59f88d,cff8d2b8b4edf6fd720dda2a20ff148e54ec5d5dba01d07bc2737ec76d8f19e3,xlsm,application/vnd.ms-excel.sheet.macroEnabled.12
制梗台时产量.xlsm,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\5月份生产各类报表\制梗台时产量.xlsm,108212,105.68 B,2024-06-03 20:20:04,false,620bd6b264b67243013dd5b667130b25,20707f4f7694c104cef5136a3b27f7988201dfc8d529a9cb7da31db8ee5d5fe0,xlsm,application/vnd.ms-excel.sheet.macroEnabled.12
制片台时产量.xlsm,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\5月份生产各类报表\制片台时产量.xlsm,173736,169.66 B,2024-06-03 20:20:02,false,e91a62c1c132e3600f118beb937a91ac,f02db597bff6239b714ca3ac5a57713604b9b0523eedb48d2e6e40a3521b23db,xlsm,application/vnd.ms-excel.sheet.macroEnabled.12
工艺段产量统计表——5月份（5.31）.xlsm,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\5月份生产各类报表\工艺段产量统计表——5月份（5.31）.xlsm,106544,104.05 B,2024-06-03 18:32:06,false,81bb62305d66cde32b2379e0c8cd4dfd,3c6f683a7edaecb4012980ad131c3280b5965e260140f262a14cd6b6e84b52af,xlsm,application/vnd.ms-excel.sheet.macroEnabled.12
6月工艺质量完成情况统计汇总表20240601.xls,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\6月工艺质量完成情况统计汇总表20240601.xls,271872,265.50 B,2024-08-28 13:49:18,false,cd323dc41e88a8da0f32e1e59fc138f9,73f369139c1f1d790ef49482b190c5a9d34d2caf61d4276cfe80697548af7157,xls,application/vnd.ms-excel
制丝车间生产信息传递单.wps,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\制丝车间生产信息传递单.wps,22528,22.00 B,2024-08-28 14:01:18,false,ce827e5bbbb9beb66791b0cd6562fce9,ebfd4a0aeecd99b0a7839f5b840e3c0d27daa5eaed6239c1e5bbb07151cdecef,wps,application/kswps
制梗丝过程质量判定记录（新20240607）.xlsx,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\制梗丝过程质量判定记录（新20240607）.xlsx,1305777,1.25 KB,2024-08-28 14:01:14,false,60604f2595712ab71d1258973503f3e0,3b6f65287a9fe52e2e8c3aaf0e57d8a18cf0454d77801a2e6c2ffb00714c230c,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
副本8月制丝设备故障停机日报表--上报设备管理处.xlsx,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\副本8月制丝设备故障停机日报表--上报设备管理处.xlsx,21976,21.46 B,2024-08-28 14:19:06,false,5fe54738641948b4a70829d8799223b4,3782e6877060b8881f2fc19fef59b32894fd43b6705d2c99ad1759f11119f95c,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
工艺管理考核表（乙工段5月7日）.docx,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\工艺管理考核表（乙工段5月7日）.docx,14018,13.69 B,2024-08-28 14:01:20,false,2fcba902b30c724ebb0549fe352fc49a,1995ba9bf8657d267d6bcaa99cfbd153fb2f3e7fad508d73c2d6f5960471cfd1,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
故障停机情况统计表2024.xlsx,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\故障停机情况统计表2024.xlsx,387577,378.49 B,2024-08-28 14:19:14,false,2117b8aef8436ab2307ba6d85663f944,e90c070fc0057e3c541a08cef3afd12d5e27aa7a027b5b6ebd33f17103c0fa69,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
数据收集.docx,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\数据收集.docx,2582123,2.46 KB,2024-08-28 15:03:56,false,0464f625a9ca44f5b59af05a27d8c18e,3478a2c365167d399c38ce91fa60dba49ff1ad496c00b6c3f99b25580621c012,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
整理.docx,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\整理.docx,19005,18.56 B,2024-08-29 17:24:17,false,a58e0a039987f57efe4dd3e36d80bb37,26fbfd6d4ee110bb2685504853ce32e252a44616d04ef567880d6dafe727a74d,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
泰山（宏图）烟叶出库确认记录.xlsx,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\泰山（宏图）烟叶出库确认记录.xlsx,61942,60.49 B,2024-08-28 14:05:34,false,769d64fb2e218d570732ffd383996157,4fad59b43ca39d0989e4583f6a80daaa0bdd72ea6de02ab8a89fa6365c57b33e,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
甲类梗出入库配方验证.xlsx,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\甲类梗出入库配方验证.xlsx,8632351,8.23 KB,2024-08-28 14:05:36,false,ffafdae514e366e06dcf5a262efc18fc,2dad89c1fab918cbc1422a11a4862d436c8102ed46001c83a889d62b8f9b80bb,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
管网泄漏率-完好率2024.xls,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\管网泄漏率-完好率2024.xls,284672,278.00 B,2024-08-28 14:19:18,false,bd09b5979a3f3ce9e017d20d04f083b6,6e4322078cad02970321341b2fc5eaa35ac5c74c622d8300a1aace81f5205d41,xls,application/vnd.ms-excel
制丝车间产量质量生产效能综合报表.xlsx,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝车间产量质量生产效能综合报表.xlsx,58871,57.49 B,2025-01-08 09:46:47,false,0f5463e5c56bce90c22442449c553f8e,7c124c18f1e6c568e9105d6da864c0c19aed5bcc4e5f304135bc35d27302a0d6,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
滕烟数据治理需求调研-制丝车间.xlsx,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\调研后业务部门反馈数据\滕烟数据治理需求调研-制丝车间.xlsx,24983,24.40 B,2025-01-10 14:20:28,false,670f1fb1f7bf5ace6a26632bafa1b420,1556ab241b395e5134d45469070ae8ef676806e6aa2a3cef6b2445dd058c054c,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
卷包数采、盒条件关联等系统需求调研记录20250125.docx,svn\滕烟数据汇聚中心项目\2-需求阶段\02-卷包车间\卷包数采、盒条件关联等系统需求调研记录20250125.docx,28573,27.90 B,2025-01-21 16:57:37,false,690ddbf22d285c59da8531ea9f41609c,a846e215ddeb527406a63be482a0ed5448a4fbc334181b6bd939f30aefba3cca,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
上报ERP2024年8月.xlsx,svn\滕烟数据汇聚中心项目\2-需求阶段\02-卷包车间\原始需求\上报ERP表\上报ERP2024年8月.xlsx,11109711,10.60 KB,2024-08-02 08:27:06,false,245711e8e846fc9c6bea14d35cc7065e,7d198643db00468e3a1490d35a8b440630af33b9626560b9173bf96b63851004,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
2024-8产耗统计表.xlsx,svn\滕烟数据汇聚中心项目\2-需求阶段\02-卷包车间\原始需求\产耗统计表\2024-8产耗统计表.xlsx,521601,509.38 B,2024-08-02 22:47:16,false,4a2d6b1b1d43ba8378c25a18607e919f,62b11f9d673b1b2486014454172aeb0e69063adfc969d53b9126aabbfced85d1,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
卷包数据清单.docx,svn\滕烟数据汇聚中心项目\2-需求阶段\02-卷包车间\原始需求\卷包数据清单.docx,17332,16.93 B,2024-08-28 15:30:12,false,8c06104e254be1916267e9d76e3cf564,375b8c02458003e60c69a698bcc47e75957018a36e4589a273d035baaa16ad48,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
7月18日乙工段日工作分析.docx,svn\滕烟数据汇聚中心项目\2-需求阶段\02-卷包车间\原始需求\工段日工作分析\7月18日乙工段日工作分析.docx,74165,72.43 B,2024-07-18 10:45:22,false,8e3d4482f79a8c825369cf21a41100b6,473c7aa626a611f971a6a2ddf8c1d087c24658bc56422c7db2b3370d9fbc52c5,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
《工段日工作分析》表说明.docx,svn\滕烟数据汇聚中心项目\2-需求阶段\02-卷包车间\原始需求\工段日工作分析\《工段日工作分析》表说明.docx,17659,17.25 B,2024-08-28 14:05:16,false,fc8401dc8b297a7f7d17bc2eea5f75b6,c74b5c11b1d96262b2ac830a296fdf35eb5d19700cd4950d3c5b8492ef0f003a,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
2024年8月报表.xlsx,svn\滕烟数据汇聚中心项目\2-需求阶段\02-卷包车间\原始需求\月底盘存\2024年8月报表.xlsx,228281,222.93 B,2024-08-26 09:35:46,false,38cc95bf472604ef20d20f45a86eb893,5c85b742119c1cc1cc84f5a0fca1fa2d29b3f3df65b2b542937529a98babbc1b,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
乙工段盘存表-2024.07.xls,svn\滕烟数据汇聚中心项目\2-需求阶段\02-卷包车间\原始需求\月底盘存\乙工段盘存表-2024.07.xls,92160,90.00 B,2024-08-28 12:16:36,false,db012aa53510d3dc463750da29783ddf,7fae5cf4ed4ed3abaf6f69e4ecc380c0203c72f36de9db2ae7c5a938ff9ee27f,xls,application/vnd.ms-excel
材料库存表2024.8.23.xlsx,svn\滕烟数据汇聚中心项目\2-需求阶段\02-卷包车间\原始需求\月底盘存\材料库存表2024.8.23.xlsx,17294260,16.49 KB,2024-08-28 12:10:22,false,8109c53ad87fe2a4cda6b08745dbff4f,62cd60d151a03c1c9c3ab1d547f031e3e25dec8e1a7247b1105092e44d6e7a79,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
甲工段盘存表-2024.07.xls,svn\滕烟数据汇聚中心项目\2-需求阶段\02-卷包车间\原始需求\月底盘存\甲工段盘存表-2024.07.xls,92160,90.00 B,2024-08-28 12:16:30,false,86829e93350dee0484bc06b5513195ce,2b7f74d6e68355dbd6b107becf7f936835bb2648f99bb01bf5f17e6bcf39a6b9,xls,application/vnd.ms-excel
立库余料库存20240823-中班宏图结束前统计.xls,svn\滕烟数据汇聚中心项目\2-需求阶段\02-卷包车间\原始需求\月底盘存\立库余料库存20240823-中班宏图结束前统计.xls,46080,45.00 B,2024-08-28 12:09:38,false,dad4bcbe66ffca0e80e4421e4ac27a93,6a8486633ab59f8a91b5feebfd1bc8227d222f3615bdd9a14035c77f6b3f43b6,xls,application/vnd.ms-excel
2024-8月机台产量.xlsx,svn\滕烟数据汇聚中心项目\2-需求阶段\02-卷包车间\原始需求\机台产量表\2024-8月机台产量.xlsx,192750,188.23 B,2024-08-02 15:55:42,false,3fed5d148184df92ed49517caa2fb8c6,7648700482e81c25934e45896c36fc2aa72c7e94da2d6d5d0aad2a83b7a06277,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
《调度日报表》分析.docx,svn\滕烟数据汇聚中心项目\2-需求阶段\02-卷包车间\原始需求\调度日报表\《调度日报表》分析.docx,17423,17.01 B,2024-08-28 14:23:32,false,c0cec7b419aecf5b6910c611e376a6dc,4c1720b7b3211573d058c99c693dd604eb8df0f3fe6b776efcc88dc2954aa570,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
调度日报表7.18乙.xls,svn\滕烟数据汇聚中心项目\2-需求阶段\02-卷包车间\原始需求\调度日报表\调度日报表7.18乙.xls,28672,28.00 B,2024-07-18 10:46:02,false,dfeffa3e31569ab871d3f35a793f41c7,d7789079c9a7830da5ec134731a7e54e671f2e5a7cfc629b7e498fe3b296d9b3,xls,application/vnd.ms-excel
动力数据采集.docx,svn\滕烟数据汇聚中心项目\2-需求阶段\04-动力能源处\原始需求\动力数据采集.docx,354823,346.51 B,2025-01-08 09:50:35,false,426e7d97087a90f7b4f8cec70a512b6e,2cf9bd5d597b76c779e1a95112c489e272843bd3b212e0c0d486210b71f3e239,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
能源动力处需求调研记录.docx,svn\滕烟数据汇聚中心项目\2-需求阶段\04-动力能源处\能源动力处需求调研记录.docx,33549,32.76 B,2025-01-15 16:02:51,false,d6e62337fd7a3d10f19ab4dbf84576a9,3e6b9f9cdde86b88066e90048ae59e314176d6378c85147a7f85a7f249795f6e,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
滕烟业务调研提纲.docx,svn\滕烟数据汇聚中心项目\2-需求阶段\10-调研模板\滕烟业务调研提纲.docx,25073,24.49 B,2025-01-20 10:15:54,false,1677a5cd275d9c0437496813fdf83d74,21c848e0528cb6fd192f5d63359fdd4b18ccaa94e41a5916c8d5fe41ad7ca662,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
滕烟系统调研提纲.docx,svn\滕烟数据汇聚中心项目\2-需求阶段\10-调研模板\滕烟系统调研提纲.docx,20617,20.13 B,2025-01-20 10:15:54,false,068a1b253255ffccba34075da06e5a6e,12dd9067233a72e2a4a2d453b1576a22a5d4eda0489dc809d960bd97bb6b9654,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
(制丝车间)山东中烟生产制造一体化平台项目需求调研记录-滕州卷烟厂工艺质量管理V1.0.docx,svn\滕烟数据汇聚中心项目\2-需求阶段\11-一体化平台调研\一体化平台调研记录\工艺质量\(制丝车间)山东中烟生产制造一体化平台项目需求调研记录-滕州卷烟厂工艺质量管理V1.0.docx,50022,48.85 B,2025-01-21 17:31:32,false,9c5d2b809cba0d9fc49e358beba9320c,5b88e24893e4a757f1956c574e3bbe30f31445d39cb5a124a637a98c7df00a23,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
(卷包车间)山东中烟生产制造一体化平台项目需求调研记录-滕州卷烟厂工艺质量管理V1.0.docx,svn\滕烟数据汇聚中心项目\2-需求阶段\11-一体化平台调研\一体化平台调研记录\工艺质量\(卷包车间)山东中烟生产制造一体化平台项目需求调研记录-滕州卷烟厂工艺质量管理V1.0.docx,47620,46.50 B,2025-01-21 17:31:17,false,f3faf15ead9be359a5e73c756f36213f,8573de0c35671e192186b52770aa908be77c7fc62f8ac64ed7e3b0aec9f3665d,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
(工艺质量处)山东中烟生产制造一体化平台项目需求调研记录-滕州卷烟厂工艺质量管理0113.docx,svn\滕烟数据汇聚中心项目\2-需求阶段\11-一体化平台调研\一体化平台调研记录\工艺质量\(工艺质量处)山东中烟生产制造一体化平台项目需求调研记录-滕州卷烟厂工艺质量管理0113.docx,53664,52.41 B,2025-01-21 17:30:11,false,76625ce7a671b3d35dc1d79a341bcaf6,76b26550871949acf766120fb74f8ef4512caebd4988280dba9097f656390359,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
(技术中心滕州站)山东中烟生产制造一体化平台项目需求调研记录-滕州卷烟厂工艺质量管理V1.0.docx,svn\滕烟数据汇聚中心项目\2-需求阶段\11-一体化平台调研\一体化平台调研记录\工艺质量\(技术中心滕州站)山东中烟生产制造一体化平台项目需求调研记录-滕州卷烟厂工艺质量管理V1.0.docx,33006,32.23 B,2025-01-21 17:30:22,false,df7cd599c5034ed584ef03b6fa871b96,43745676bbc9819a45ff3d74d535038e1d35a1e8f924e5456347521ab87adda1,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
滕州卷烟厂环境能源管理调研总结.docx,svn\滕烟数据汇聚中心项目\2-需求阶段\11-一体化平台调研\一体化平台调研记录\滕州卷烟厂环境能源管理调研总结.docx,49057,47.91 B,2025-01-21 17:27:54,false,f8e8963ca061873ba7b81c827ad1e38e,a129e5f260664288eea78e7fe0f5d70c1ef9353ad30e26914e0911987142bf85,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
滕州卷烟厂计划统计调研记录.docx,svn\滕烟数据汇聚中心项目\2-需求阶段\11-一体化平台调研\一体化平台调研记录\滕州卷烟厂计划统计调研记录.docx,64777,63.26 B,2025-01-21 17:27:29,false,34f414994ec3a4e57bf009982b40af44,0f7fdc0285616e1ec6e79196395424cea8d81c269d30558129a5a1134cee2189,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
需求调研记录-工厂级设备管理模块20250114-滕州厂(制丝车间确认).docx,svn\滕烟数据汇聚中心项目\2-需求阶段\11-一体化平台调研\一体化平台调研记录\设备管理-滕州\需求调研记录-工厂级设备管理模块20250114-滕州厂(制丝车间确认).docx,40705,39.75 B,2025-01-21 17:28:29,false,008d7ce3e1f1e4bd71606bcfe464444c,bb415c09a4dd3991a411f940c1bef6fd8e3ab978487ed33d04f492a37c6a7831,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
需求调研记录-工厂级设备管理模块20250115上午-滕州厂(设备调研专题动员会).docx,svn\滕烟数据汇聚中心项目\2-需求阶段\11-一体化平台调研\一体化平台调研记录\设备管理-滕州\需求调研记录-工厂级设备管理模块20250115上午-滕州厂(设备调研专题动员会).docx,35677,34.84 B,2025-01-21 17:28:55,false,ac386f568896ded86451570392cf5154,d5a91b43d06dc597f4d2dc9fb9b37235644d364d36863fa76942475a91918c02,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
需求调研记录-工厂级设备管理模块20250115下午-滕州厂(设备处确认).docx,svn\滕烟数据汇聚中心项目\2-需求阶段\11-一体化平台调研\一体化平台调研记录\设备管理-滕州\需求调研记录-工厂级设备管理模块20250115下午-滕州厂(设备处确认).docx,39989,39.05 B,2025-01-21 17:29:23,false,09ebe80c05f0933356a523002e265556,1e39ff35da4ed2cfe36859bee016f3f38fc1d06331e3b0df55c2b912695f8637,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
需求调研记录-工厂级设备管理模块20250117上午-滕州厂(能源动力处确认).docx,svn\滕烟数据汇聚中心项目\2-需求阶段\11-一体化平台调研\一体化平台调研记录\设备管理-滕州\需求调研记录-工厂级设备管理模块20250117上午-滕州厂(能源动力处确认).docx,42324,41.33 B,2025-01-21 17:29:38,false,396f626d4a5a428c5d6434ceafd9419a,cb270063b88da40a41775d470423d28b5e000417682140280525f2d927f794d9,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
需求调研记录-工厂级设备管理模块20251016-滕州厂(卷包车间确认).docx,svn\滕烟数据汇聚中心项目\2-需求阶段\11-一体化平台调研\一体化平台调研记录\设备管理-滕州\需求调研记录-工厂级设备管理模块20251016-滕州厂(卷包车间确认).docx,41502,40.53 B,2025-01-21 17:29:54,false,1ff8963084477787b01057989dbccc71,0f9d1273914ff11ab1c377f96f6d58f30be979b746a70392d8f15aa9d1b3cf2d,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
山东中烟生产制造智能管理一体化平台需求调研（滕州）会务手册打印稿(1).pdf,svn\滕烟数据汇聚中心项目\2-需求阶段\11-一体化平台调研\山东中烟生产制造智能管理一体化平台需求调研（滕州）会务手册打印稿(1).pdf,347825,339.67 B,2025-01-13 08:40:22,false,53f8524fc428fd94fc79e8d445951818,0ecebedf89509629a92127f19598ceef3989300abddc63dfe4f6494e91896436,pdf,application/pdf
山东中烟生产制造智能管理一体化平台需求调研（滕州）会务手册打印稿.pdf,svn\滕烟数据汇聚中心项目\2-需求阶段\11-一体化平台调研\山东中烟生产制造智能管理一体化平台需求调研（滕州）会务手册打印稿.pdf,347825,339.67 B,2025-01-13 08:40:22,false,53f8524fc428fd94fc79e8d445951818,0ecebedf89509629a92127f19598ceef3989300abddc63dfe4f6494e91896436,pdf,application/pdf
滕州卷烟厂数据汇聚中心项目需求规格说明书250115.docx,svn\滕烟数据汇聚中心项目\2-需求阶段\滕州卷烟厂数据汇聚中心项目需求规格说明书250115.docx,383682,374.69 B,2025-01-15 16:40:34,false,74e6272416dd1427951b08aa04da5804,e9203941f69b2c99749df7891e48784677dd318343972f15499d351c1011a89b,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
滕州卷烟厂数据元技术规范-V0.1.docx,svn\滕烟数据汇聚中心项目\3-设计阶段\数据治理体系\数据治理标准规范转化编制\滕州卷烟厂数据元技术规范-V0.1.docx,342411,334.39 B,2025-01-08 17:41:43,false,a3f8c74ea99864a80298953d885557b3,dd3785bc0852aecc68be78351083ede663fb493204cb1b9dc83734809af1ee02,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
培训计划.xlsx,svn\滕烟数据汇聚中心项目\6-实施阶段\培训材料\培训计划.xlsx,17806,17.39 B,2025-01-17 14:55:02,false,caa36b5e4f75bb039809a498d2687b8a,5045b4576a37cff430191cbdb5bd288a38c365dc0b42beaea5413abf5f855c03,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
202501滕烟数据治理培训.pptx,svn\滕烟数据汇聚中心项目\6-实施阶段\培训材料\202501滕烟数据治理培训.pptx,19249723,18.36 KB,2025-01-08 13:31:59,false,141d7819f1a63b44a2816a1a6391c2ce,e0db4244f77582708b91026853afe22ae5c932e02cc63fe868f87f0ee69066e4,pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation
交流分享内容大纲 - 滕州.pdf,svn\滕烟数据汇聚中心项目\6-实施阶段\培训材料\领导培训材料\交流分享内容大纲 - 滕州.pdf,119079,116.29 B,2025-01-03 15:48:58,false,68f697a36a0a5710da0cba9022ee5667,dbd0a6bde27998963ac98740ce19be4180b5354af8c331abbd94e885d72b0b23,pdf,application/pdf
